downtime_id,date_key,date,downtime_start_ts,downtime_end_ts,start_hour,reported_duration_minutes,calculated_duration_minutes,duration_variance_seconds,duration_band
downtime_033,20220722,2022-07-22T00:00:00,2022-07-22T16:07:23,2022-07-22T16:10:08,16,2.7501333333333333,2.7501333333333333,0.0,1–5 min
downtime_034,20220722,2022-07-22T00:00:00,2022-07-22T16:12:53,2022-07-22T16:13:38,16,0.7502666666666666,0.7502666666666666,0.0,<1 min
downtime_035,20220722,2022-07-22T00:00:00,2022-07-22T16:19:53,2022-07-22T16:20:23,16,0.5002333333333333,0.5002333333333333,0.0,<1 min
downtime_036,20220722,2022-07-22T00:00:00,2022-07-22T16:21:08,2022-07-22T16:21:53,16,0.7497833333333334,0.7497833333333334,0.0,<1 min
downtime_037,20220722,2022-07-22T00:00:00,2022-07-22T16:25:38,2022-07-22T16:29:38,16,4.0001,4.0001,0.0,1–5 min
downtime_038,20220722,2022-07-22T00:00:00,2022-07-22T16:35:38,2022-07-22T16:36:23,16,0.7502833333333334,0.7502833333333334,0.0,<1 min
downtime_039,20220722,2022-07-22T00:00:00,2022-07-22T16:39:08,2022-07-22T16:39:38,16,0.5002,0.5002,0.0,<1 min
downtime_040,20220722,2022-07-22T00:00:00,2022-07-22T16:45:38,2022-07-22T16:46:08,16,0.50005,0.50005,0.0,<1 min
downtime_041,20220722,2022-07-22T00:00:00,2022-07-22T16:46:23,2022-07-22T16:47:23,16,1.0000333333333333,1.0000333333333333,0.0,1–5 min
downtime_042,20220722,2022-07-22T00:00:00,2022-07-22T16:52:08,2022-07-22T16:53:24,16,1.2537999999999998,1.2537999999999998,0.0,1–5 min
downtime_043,20220722,2022-07-22T00:00:00,2022-07-22T16:53:38,2022-07-22T16:54:08,16,0.5006166666666666,0.5006166666666666,0.0,<1 min
downtime_044,20220722,2022-07-22T00:00:00,2022-07-22T16:58:08,2022-07-22T16:58:53,16,0.7495499999999999,0.7495499999999999,0.0,<1 min
downtime_045,20220722,2022-07-22T00:00:00,2022-07-22T16:59:23,2022-07-22T17:04:53,16,5.500216666666666,5.500216666666666,0.0,5–15 min
downtime_046,20220722,2022-07-22T00:00:00,2022-07-22T17:10:38,2022-07-22T17:12:53,17,2.2501,2.2501,0.0,1–5 min
downtime_047,20220722,2022-07-22T00:00:00,2022-07-22T17:13:53,2022-07-22T17:14:23,17,0.5000166666666667,0.5000166666666667,0.0,<1 min
downtime_048,20220722,2022-07-22T00:00:00,2022-07-22T17:16:38,2022-07-22T17:18:23,17,1.7500333333333333,1.7500333333333333,0.0,1–5 min
downtime_049,20220722,2022-07-22T00:00:00,2022-07-22T17:22:09,2022-07-22T17:25:54,17,3.750183333333333,3.750183333333333,0.0,1–5 min
downtime_050,20220722,2022-07-22T00:00:00,2022-07-22T17:27:09,2022-07-22T17:27:39,17,0.5004666666666666,0.5004666666666666,0.0,<1 min
downtime_051,20220722,2022-07-22T00:00:00,2022-07-22T17:29:54,2022-07-22T17:32:24,17,2.4996666666666667,2.4996666666666667,0.0,1–5 min
downtime_052,20220722,2022-07-22T00:00:00,2022-07-22T17:33:24,2022-07-22T17:35:24,17,2.00075,2.00075,0.0,1–5 min
downtime_053,20220722,2022-07-22T00:00:00,2022-07-22T17:39:24,2022-07-22T17:40:54,17,1.4995666666666667,1.4995666666666667,0.0,1–5 min
downtime_054,20220722,2022-07-22T00:00:00,2022-07-22T17:44:39,2022-07-22T17:47:39,17,3.0001333333333333,3.0001333333333333,0.0,1–5 min
downtime_055,20220722,2022-07-22T00:00:00,2022-07-22T17:51:24,2022-07-22T17:55:24,17,3.9999666666666664,3.9999666666666664,0.0,1–5 min
downtime_056,20220722,2022-07-22T00:00:00,2022-07-22T17:59:09,2022-07-22T18:02:54,17,3.7505499999999996,3.7505499999999996,0.0,1–5 min
